x1,x2,y
3.1549474256969163,3.3781625196021734,0
6.856381597167109,5.276596847775574,2
3.066517222383168,3.3024718977397813,0
6.39561666057155,7.552165079260974,2
7.044467496482657,7.517479159025057,2
4.532779214358458,4.4693587699002855,0
3.177426142253753,2.598219063791738,0
6.864153921621119,8.1764332949465,2
4.178779571159651,7.320075164187649,1
1.2937298093749874,4.95077539523179,0
8.688029792352301,7.8169426119248495,2
2.092701635616758,7.551945395796139,1
3.6722947570124354,7.907461836241111,1
7.401547475574568,6.836521713637893,2
9.66323594928069,8.836527949436391,2
3.144043571160878,4.454273506962975,0
7.431758394675369,9.213342721649367,2
3.6140793703460803,8.422206671566526,1
8.07659081661494,7.291701244422005,2
2.3054321402686346,7.35036545967233,1
2.2300839255546836,8.039249191291818,1
2.489194862431127,1.819367815877588,0
3.2082749780768602,8.476639036483713,1
3.402341641177549,6.815189909059686,1
3.3563663971744018,8.206573168191948,1
3.8644361988595057,2.257834979593558,0
2.5968230530268204,8.722445070382427,1
4.867557990149967,2.022722120123589,0
1.8348501592166435,8.400826486954188,1
4.883150697056254,6.152240938857553,1
4.2302906807277205,4.202379848784411,0
5.269754623987607,1.5456343254012352,0
1.82687659488584,9.443621185649292,1
8.125231451027187,5.897942344393252,2
8.271790551213668,8.323504153963732,2
6.499784652610435,5.955228903222388,2
6.207143090276551,7.767050869349183,2
2.186853717955546,1.2737173976683231,0
6.465757158215535,8.181594518281628,2
9.883144774863942,8.444479486990414,2
0.4470101841659213,3.653618595440361,0
8.626635922106507,6.4200684916365764,2
6.184092589488479,7.038415395185291,2
8.420858823780819,7.818727652943021,2
3.298238174206056,8.82638589668703,1
3.9787379841057393,5.240893199201458,0
4.488252193795599,9.395889176030582,1
3.9500884175255893,2.8486427917023023,0
3.0105000207208206,9.285870493905835,1
7.896006712661645,6.406938491269495,2
2.6520878506738472,3.15634896910398,0
4.1394006845433005,6.265174179646348,1
2.6126731825920477,2.6976972494246643,0
4.764052345967664,3.400157208367223,0
3.313067701650901,2.1459042606982752,0
7.460717181772504,6.331906502258803,2
3.46566243973046,5.963756313722776,1
6.6965903358261585,6.810450222249799,2
6.274564481169832,8.344362976401547,2
8.35683061190269,6.8489744066998535,2
2.5648464482783626,9.349263728479341,1
4.86755896042657,8.406044658275386,1
2.5863810192402528,6.7525451885592425,1
1.7295150015142664,8.469396708158012,1
1.3698016530339554,3.462782255525774,0
2.3656779063190365,2.637258834012862,0
2.971817771661345,3.4283318705304175,0
6.75524517795156,6.673561461340985,2
2.7319966290486195,8.302456395796396,1
1.9514470349329074,1.5799820628210248,0
2.1045334388063246,3.386902497859262,0
4.922942026480385,8.980514791434425,1
2.327539552224049,2.6404468384594586,0
8.023276660531753,7.328453668777752,2
2.896781148206442,3.4105985019383724,0
1.3861021524420485,2.7872597197860314,0
1.7472046399500738,3.77749035583191,0
2.1387743149452976,9.410064953099035,1
2.1122142523698875,1.019203531776073,0
3.3764255311556295,6.400599209415805,1
2.325667339342624,7.531830558274351,1
7.666673495372529,8.135031436892106,2
8.449420806925762,7.587551241385191,2
3.7610377251469935,3.121675016492828,0
7.146006088746516,6.125048706581981,2
6.352531347588897,7.062179955255566,2
2.4903478182483463,2.5619256983888135,0
7.001967549307695,9.429532053816986,2
3.4438632327454255,3.3336743273742666,0
6.760437003608686,9.043014595406735,2
4.494079073157606,2.7948417362341993,0
2.6884474678726273,7.556165342229745,1
2.1292028508181184,6.921150335235584,1
6.0087424072943945,7.939391701264537,2
3.045758517301446,2.812816149974166,0
1.9292473784894575,8.554451726931136,1
6.587177774555841,8.617016288095853,2
3.12691209270362,7.901989363444701,1
3.947251967773748,7.3449899069091655,1
3.7290905621775368,7.6289829107574105,1
